GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
ADAMTS19,4646,0.93,0.51,0.63,0.11,0.36,0.29,1.462870591,0.001748056,0.001748056,ADAMTS19,XP_009447869.1;XP_011541551.1;NP_598377.4;XP_011541548.1,A disintegrin and metalloproteinase with thrombospondin motifs 19 isoform X1 [Pan troglodytes];A disintegrin and metalloproteinase with thrombospondin motifs 19 isoform X4 [Homo sapiens];A disintegrin and metalloproteinase with thrombospondin motifs 19 [Homo sapiens];A disintegrin and metalloproteinase with thrombospondin motifs 19 isoform X1 [Homo sapiens],GO:0004222;GO:0005576;GO:0030198;GO:0031012;GO:0046872,metalloendopeptidase activity;extracellular region;extracellular matrix organization;extracellular matrix;metal ion binding,K08633,ADAMTS19,http://www.genome.jp/dbget-bin/www_bget?ko:K08633,-,-,-,-,sp|Q8TE59|ATS19_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Homo sapiens OX=9606 GN=ADAMTS19 PE=2 SV=2
EEF1E1-BLOC1S5,827,4.12,2.84,2.01,5.59,7.64,5.52,-1.230623177,0.001355025,0.001355025,EEF1E1-BLOC1S5,XP_055246763.1,eukaryotic translation elongation factor 1 epsilon-1 isoform X4 [Gorilla gorilla gorilla],GO:0005829;GO:0006418;GO:0005634;GO:0043065;GO:0016021;GO:2000774;GO:0008285;GO:0017101;GO:0005654;GO:0005737;GO:0043517;GO:0005730,"cytosol;tRNA aminoacylation for protein translation;nucleus;positive regulation of apoptotic process;integral component of membrane;positive regulation of cellular senescence;negative regulation of cell population proliferation;aminoacyl-tRNA synthetase multienzyme complex;nucleoplasm;cytoplasm;positive regulation of DNA damage response, signal transduction by p53 class mediator;nucleolus",-,-,-,-,-,-,-,sp|O43324|MCA3_HUMAN,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1
SVEP1,12205,25.74,23.62,23.48,5.25,5.63,5.08,2.257524087,6.75E-280,6.75E-280,SVEP1,NP_699197.3,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor [Homo sapiens]",GO:0005615;GO:0008544;GO:0010467;GO:0005576;GO:0003682;GO:0030246;GO:0120193;GO:0003017;GO:0036303;GO:0048014;GO:0005509,extracellular space;epidermis development;gene expression;extracellular region;chromatin binding;carbohydrate binding;tight junction organization;lymph circulation;lymph vessel morphogenesis;Tie signaling pathway;calcium ion binding,K24469,SVEP1,http://www.genome.jp/dbget-bin/www_bget?ko:K24469,-,-,-,-,sp|Q4LDE5|SVEP1_HUMAN,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3"
ESM1,2095,0.15,0.14,0.06,0.94,0.69,0.94,-2.878168766,3.47E-05,3.47E-05,ESM1,XP_011854919.1;XP_004058887.2,PREDICTED: endothelial cell-specific molecule 1 isoform X2 [Mandrillus leucophaeus];endothelial cell-specific molecule 1 [Gorilla gorilla gorilla],GO:0001525;GO:0005520;GO:0005178;GO:0002040;GO:1902204;GO:0005576;GO:0008284;GO:0005171,angiogenesis;insulin-like growth factor binding;integrin binding;sprouting angiogenesis;positive regulation of hepatocyte growth factor receptor signaling pathway;extracellular region;positive regulation of cell population proliferation;hepatocyte growth factor receptor binding,K25036,ESM1,http://www.genome.jp/dbget-bin/www_bget?ko:K25036,-,-,-,-,sp|Q9NQ30|ESM1_HUMAN,Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2
FBN2,10914,112.01,101.72,108.9,35.45,36.94,34.43,1.662555232,1.25E-269,1.25E-269,FBN2,NP_001990.2;XP_016864717.1,fibrillin-2 precursor [Homo sapiens];fibrillin-2 isoform X1 [Homo sapiens],GO:0060346;GO:0005201;GO:0062023;GO:0030326;GO:0031012;GO:0030198;GO:0030023;GO:0030501;GO:0045669;GO:0009653;GO:0043010;GO:0005576;GO:0035583;GO:0048048;GO:0005509;GO:0001527,bone trabecula formation;extracellular matrix structural constituent;collagen-containing extracellular matrix;embryonic limb morphogenesis;extracellular matrix;extracellular matrix organization;extracellular matrix constituent conferring elasticity;positive regulation of bone mineralization;positive regulation of osteoblast differentiation;anatomical structure morphogenesis;camera-type eye development;extracellular region;sequestering of TGFbeta in extracellular matrix;embryonic eye morphogenesis;calcium ion binding;microfibril,K23342,FBN2_3,http://www.genome.jp/dbget-bin/www_bget?ko:K23342,-,-,-,-,sp|P35556|FBN2_HUMAN,Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3
EXO1,3345,3.55,2.62,2.71,6.16,5.85,7.22,-1.041589952,1.49E-09,1.49E-09,EXO1,XP_011542626.1;NP_006018.4;NP_003677.4;XP_011542627.1;NP_001306153.1,exonuclease 1 isoform X3 [Homo sapiens];exonuclease 1 isoform b [Homo sapiens];exonuclease 1 isoform a [Homo sapiens];exonuclease 1 isoform X4 [Homo sapiens];exonuclease 1 isoform c [Homo sapiens],GO:0003677;GO:0008409;GO:0016446;GO:0051321;GO:0006260;GO:0045190;GO:0006298;GO:0004523;GO:0016604;GO:0045145;GO:0005634;GO:0035312;GO:0006281;GO:0090656;GO:0046872;GO:0002455;GO:0048256;GO:0051908;GO:0006310;GO:0005654;GO:0005886;GO:0003682;GO:0004519;GO:0017108;GO:0004527;GO:1901796,DNA binding;5'-3' exonuclease activity;somatic hypermutation of immunoglobulin genes;meiotic cell cycle;DNA replication;isotype switching;mismatch repair;RNA-DNA hybrid ribonuclease activity;nuclear body;single-stranded DNA 5'-3' exodeoxyribonuclease activity;nucleus;5'-3' exodeoxyribonuclease activity;DNA repair;t-circle formation;metal ion binding;humoral immune response mediated by circulating immunoglobulin;flap endonuclease activity;double-stranded DNA 5'-3' exodeoxyribonuclease activity;DNA recombination;nucleoplasm;plasma membrane;chromatin binding;endonuclease activity;5'-flap endonuclease activity;exonuclease activity;regulation of signal transduction by p53 class mediator,K10746,EXO1,http://www.genome.jp/dbget-bin/www_bget?ko:K10746,Mismatch repair,ko03430,KOG2518,5'-3' exonuclease,sp|Q9UQ84|EXO1_HUMAN,Exonuclease 1 OS=Homo sapiens OX=9606 GN=EXO1 PE=1 SV=2
BATF2,1953,1.14,0.7,0.77,0.29,0.21,0.43,1.629293832,0.004718212,0.004718212,BATF2,NP_001287736.1;EAW74331.1;NP_612465.3,"basic leucine zipper transcriptional factor ATF-like 2 isoform 2 [Homo sapiens];basic leucine zipper transcription factor, ATF-like 2, isoform CRA_b [Homo sapiens];basic leucine zipper transcriptional factor ATF-like 2 isoform 1 [Homo sapiens]",GO:0003677;GO:0043011;GO:0005634;GO:0006357;GO:0042832;GO:0000785;GO:0000978;GO:0000981;GO:0003700,"DNA binding;myeloid dendritic cell differentiation;nucleus;regulation of transcription by RNA polymerase II;defense response to protozoan;chromatin;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription factor activity",K09034,BATF,http://www.genome.jp/dbget-bin/www_bget?ko:K09034,PD-L1 expression and PD-1 checkpoint pathway in cancer,ko05235,-,-,sp|Q8N1L9|BATF2_HUMAN,Basic leucine zipper transcriptional factor ATF-like 2 OS=Homo sapiens OX=9606 GN=BATF2 PE=1 SV=1
SLC12A8,2258,4.51,4.56,4.51,2,2.48,2.43,1.140273183,1.02E-07,1.02E-07,SLC12A8,AAM73657.1;EAW79400.1,"solute carrier family 12 member 8, partial [Homo sapiens];solute carrier family 12 (potassium/chloride transporters), member 8, isoform CRA_b, partial [Homo sapiens]",GO:0006884;GO:1990573;GO:0055075;GO:0055064;GO:0055085;GO:0015379;GO:0016021;GO:1902476,cell volume homeostasis;potassium ion import across plasma membrane;potassium ion homeostasis;chloride ion homeostasis;transmembrane transport;potassium:chloride symporter activity;integral component of membrane;chloride transmembrane transport,K14428,"SLC12A8,CCC9",http://www.genome.jp/dbget-bin/www_bget?ko:K14428,-,-,KOG2083,Na+/K+ symporter,sp|A0AV02|S12A8_HUMAN,Solute carrier family 12 member 8 OS=Homo sapiens OX=9606 GN=SLC12A8 PE=1 SV=4
DEPP1,2120,7.01,7.43,7.56,1.72,1.54,2.46,2.015887484,4.16E-20,4.16E-20,DEPP1,NP_008952.1,protein DEPP1 [Homo sapiens],GO:0005737;GO:0005777;GO:0043231;GO:0010506;GO:0006914;GO:0005739,cytoplasm;peroxisome;intracellular membrane-bounded organelle;regulation of autophagy;autophagy;mitochondrion,-,-,-,-,-,-,-,sp|Q9NTK1|DEPP1_HUMAN,Protein DEPP1 OS=Homo sapiens OX=9606 GN=DEPP1 PE=1 SV=2
TRIM55,2427,6.2,6.42,6.57,12.32,13.26,14.29,-1.003851317,9.20E-15,9.20E-15,TRIM55,XP_024303076.1;XP_005251373.1;CAC32840.1;NP_908975.1;NP_908974.1;NP_908973.1;CAD24432.1;XP_016869397.1,tripartite motif-containing protein 55 isoform X6 [Homo sapiens];tripartite motif-containing protein 55 isoform X2 [Homo sapiens];ring finger protein 29 [Homo sapiens];tripartite motif-containing protein 55 isoform 4 [Homo sapiens];tripartite motif-containing protein 55 isoform 3 [Homo sapiens];tripartite motif-containing protein 55 isoform 1 [Homo sapiens];RING finger protein 29 [Homo sapiens];tripartite motif-containing protein 55 isoform X4 [Homo sapiens],GO:0042802;GO:0002523;GO:0061630;GO:0051607;GO:0045087;GO:0005737;GO:0008270;GO:0016567;GO:0006914;GO:0050904;GO:0005634;GO:0005874;GO:1905517;GO:0007165,identical protein binding;leukocyte migration involved in inflammatory response;ubiquitin protein ligase activity;defense response to virus;innate immune response;cytoplasm;zinc ion binding;protein ubiquitination;autophagy;diapedesis;nucleus;microtubule;macrophage migration;signal transduction,K10654,"TRIM55,MURF2",http://www.genome.jp/dbget-bin/www_bget?ko:K10654,-,-,-,-,sp|Q9BYV6|TRI55_HUMAN,Tripartite motif-containing protein 55 OS=Homo sapiens OX=9606 GN=TRIM55 PE=1 SV=2
BOP1-2,459,20.42,8.92,6.14,19.14,30.77,28.84,-1.090851014,0.009315027,0.009315027,BOP1,EAW82133.1,block of proliferation 1 [Homo sapiens],GO:0005694;GO:0000448;GO:0003723;GO:0070545;GO:0006364;GO:1990904;GO:0008283;GO:0000027;GO:0042254;GO:0005654;GO:0000466;GO:0005730;GO:0051726;GO:0043021;GO:0000463;GO:1901796;GO:0030687,"chromosome;cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);RNA binding;PeBoW complex;rRNA processing;ribonucleoprotein complex;cell population proliferation;ribosomal large subunit assembly;ribosome biogenesis;nucleoplasm;maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);nucleolus;regulation of cell cycle;ribonucleoprotein complex binding;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);regulation of signal transduction by p53 class mediator;preribosome, large subunit precursor",K14824,"ERB1,BOP1",http://www.genome.jp/dbget-bin/www_bget?ko:K14824,-,-,-,-,sp|Q14137|BOP1_HUMAN,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2
PTCHD4,6320,0.22,0.12,0.2,0.48,0.55,0.44,-1.264952788,0.001041412,0.001041412,PTCHD4,XP_016866383.1;XP_016866385.1;NP_001013754.3;XP_016866381.1;XP_016866380.1;NP_001371182.1;NP_997382.2,patched domain-containing protein 4 isoform X5 [Homo sapiens];patched domain-containing protein 4 isoform X6 [Homo sapiens];patched domain-containing protein 4 isoform 1 [Homo sapiens];patched domain-containing protein 4 isoform X2 [Homo sapiens];patched domain-containing protein 4 isoform X1 [Homo sapiens];patched domain-containing protein 4 isoform 3 [Homo sapiens];patched domain-containing protein 4 isoform 2 [Homo sapiens],GO:0016021;GO:0016020,integral component of membrane;membrane,K24682,PTCHD,http://www.genome.jp/dbget-bin/www_bget?ko:K24682,-,-,KOG1934,Predicted membrane protein (patched superfamily),sp|B9EKX1|PTHD4_MOUSE;sp|Q6ZW05|PTHD4_HUMAN,Patched domain-containing protein 4 OS=Mus musculus OX=10090 GN=Ptchd4 PE=2 SV=2;Patched domain-containing protein 4 OS=Homo sapiens OX=9606 GN=PTCHD4 PE=2 SV=3
MROH8,3472,0.43,0,0,0,0,0,5.091569914,0.037734351,0.037734351,MROH8,NP_689716.4;NP_998797.2;NP_998796.1,protein MROH8 isoform 1 [Homo sapiens];protein MROH8 isoform 3 [Homo sapiens];protein MROH8 isoform 2 [Homo sapiens],-,-,-,-,-,-,-,-,-,sp|Q9H579|MROH8_HUMAN,Protein MROH8 OS=Homo sapiens OX=9606 GN=MROH8 PE=2 SV=2
STIL,4972,2.71,2.19,2.52,5.46,5.44,5.53,-1.082844401,1.50E-15,1.50E-15,STIL,XP_016857614.1;NP_001041631.1;NP_001269867.1;XP_016857615.1;NP_001269866.1;NP_001269868.1;NP_001269865.1;XP_011540303.1;XP_016857616.1;XP_016857612.1,SCL-interrupting locus protein isoform X8 [Homo sapiens];SCL-interrupting locus protein isoform 1 [Homo sapiens];SCL-interrupting locus protein isoform 4 [Homo sapiens];SCL-interrupting locus protein isoform X9 [Homo sapiens];SCL-interrupting locus protein isoform 3 [Homo sapiens];SCL-interrupting locus protein isoform 5 [Homo sapiens];SCL-interrupting locus protein isoform 2 [Homo sapiens];SCL-interrupting locus protein isoform X7 [Homo sapiens];SCL-interrupting locus protein isoform X10 [Homo sapiens];SCL-interrupting locus protein isoform X4 [Homo sapiens],GO:0046599;GO:0007052;GO:0043066;GO:0021915;GO:0030903;GO:0071539;GO:0005813;GO:0033504;GO:0051298;GO:0005829;GO:0001701;GO:0005737;GO:0000578;GO:0007368;GO:0007224;GO:0035264;GO:0001843;GO:0005814;GO:0042802;GO:0001947;GO:0030900,regulation of centriole replication;mitotic spindle organization;negative regulation of apoptotic process;neural tube development;notochord development;protein localization to centrosome;centrosome;floor plate development;centrosome duplication;cytosol;in utero embryonic development;cytoplasm;embryonic axis specification;determination of left/right symmetry;smoothened signaling pathway;multicellular organism growth;neural tube closure;centriole;identical protein binding;heart looping;forebrain development,K16724,STIL,http://www.genome.jp/dbget-bin/www_bget?ko:K16724,-,-,-,-,sp|Q15468|STIL_HUMAN,SCL-interrupting locus protein OS=Homo sapiens OX=9606 GN=STIL PE=1 SV=2
SCN7A,7280,0.12,0.24,0.24,0.08,0.09,0.04,1.614897385,0.00811263,0.00811263,SCN7A,NP_002967.2,sodium channel protein type 7 subunit alpha [Homo sapiens],GO:0005248;GO:0019228;GO:0006814;GO:0055078;GO:0030424;GO:0035725;GO:0097386;GO:0086010;GO:0009617;GO:0005244;GO:0006936;GO:0034765;GO:0001518,voltage-gated sodium channel activity;neuronal action potential;sodium ion transport;sodium ion homeostasis;axon;sodium ion transmembrane transport;glial cell projection;membrane depolarization during action potential;response to bacterium;voltage-gated ion channel activity;muscle contraction;regulation of ion transmembrane transport;voltage-gated sodium channel complex,K04839,"SCN7A,SCN6A",http://www.genome.jp/dbget-bin/www_bget?ko:K04839,Adrenergic signaling in cardiomyocytes,ko04261,-,-,sp|Q01118|SCN7A_HUMAN,Sodium channel protein type 7 subunit alpha OS=Homo sapiens OX=9606 GN=SCN7A PE=1 SV=2
PTP4A3-3,2710,0.49,0.14,0.39,0.06,0,0.04,3.61570362,0.00064921,0.00064921,PTP4A3,XP_006716563.1;XP_021798382.2;XP_016868488.1,protein tyrosine phosphatase type IVA 3 isoform X2 [Homo sapiens];protein tyrosine phosphatase type IVA 3 isoform X1 [Papio anubis];protein tyrosine phosphatase type IVA 3 isoform X4 [Homo sapiens],GO:0043542;GO:0004725;GO:0005634;GO:1904951;GO:0006355;GO:1990830;GO:0043117;GO:1900746;GO:0004727;GO:0007219;GO:0016791;GO:0005769;GO:1901224;GO:0005886;GO:0005737,"endothelial cell migration;protein tyrosine phosphatase activity;nucleus;positive regulation of establishment of protein localization;regulation of transcription, DNA-templated;cellular response to leukemia inhibitory factor;positive regulation of vascular permeability;regulation of vascular endothelial growth factor signaling pathway;prenylated protein tyrosine phosphatase activity;Notch signaling pathway;phosphatase activity;early endosome;positive regulation of NIK/NF-kappaB signaling;plasma membrane;cytoplasm",K18041,PTP4A,http://www.genome.jp/dbget-bin/www_bget?ko:K18041,-,-,-,-,sp|O75365|TP4A3_HUMAN,Protein tyrosine phosphatase type IVA 3 OS=Homo sapiens OX=9606 GN=PTP4A3 PE=1 SV=2
ECHDC2,1669,5.3,4.93,3.33,2.13,1.82,2.61,1.114036295,1.24E-05,1.24E-05,ECHDC2,AAH51887.1;XP_024303927.1;XP_024303928.1;NP_060751.2;XP_050659234.1;XP_011762540.1;XP_011762539.1;XP_024303929.1;NP_001185891.1;NP_001185890.1;XP_011762541.1,"ECHDC2 protein, partial [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X5 [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X6 [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform 2 [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X2 [Macaca thibetana thibetana];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X2 [Macaca nemestrina];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X1 [Macaca nemestrina];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X7 [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform 3 [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform 1 [Homo sapiens];enoyl-CoA hydratase domain-containing protein 2, mitochondrial isoform X3 [Macaca nemestrina]",GO:0003824;GO:0006635;GO:0005739;GO:0006574;GO:0009083;GO:0004300;GO:0003860,catalytic activity;fatty acid beta-oxidation;mitochondrion;valine catabolic process;branched-chain amino acid catabolic process;enoyl-CoA hydratase activity;3-hydroxyisobutyryl-CoA hydrolase activity,-,-,-,-,-,KOG1680;KOG1679,Enoyl-CoA hydratase;Enoyl-CoA hydratase,sp|Q86YB7|ECHD2_HUMAN,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=ECHDC2 PE=1 SV=2"
SAMD3,2704,0.09,0.09,0.09,0.34,0.56,0.57,-2.346330599,0.001995751,0.001995751,SAMD3,XP_016865797.2;NP_001264114.1;XP_016865799.2;XP_024302101.1;XP_016865794.1;XP_016865798.2,sterile alpha motif domain-containing protein 3 isoform X5 [Homo sapiens];sterile alpha motif domain-containing protein 3 isoform 3 [Homo sapiens];sterile alpha motif domain-containing protein 3 isoform X7 [Homo sapiens];sterile alpha motif domain-containing protein 3 isoform X1 [Homo sapiens];sterile alpha motif domain-containing protein 3 isoform X2 [Homo sapiens];sterile alpha motif domain-containing protein 3 isoform X6 [Homo sapiens],-,-,-,-,-,-,-,-,-,sp|Q8N6K7|SAMD3_HUMAN,Sterile alpha motif domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SAMD3 PE=1 SV=2
ZNF219,3055,5.49,7.06,6.35,3.44,3.5,3.04,1.002054442,3.21E-09,3.21E-09,ZNF219,NP_001095142.1,zinc finger protein 219 [Homo sapiens],GO:0001227;GO:0060174;GO:0001505;GO:0005654;GO:0000978;GO:0000981;GO:0003700;GO:0003677;GO:0016021;GO:0032332;GO:0006355;GO:0004969;GO:0045944;GO:0045892;GO:0005634;GO:0000122;GO:0046872,"DNA-binding transcription repressor activity, RNA polymerase II-specific;limb bud formation;regulation of neurotransmitter levels;nucleoplasm;RNA polymerase II cis-regulatory region sequence-specific DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;DNA-binding transcription factor activity;DNA binding;integral component of membrane;positive regulation of chondrocyte differentiation;regulation of transcription, DNA-templated;histamine receptor activity;positive regulation of transcription by RNA polymerase II;negative regulation of transcription, DNA-templated;nucleus;negative regulation of transcription by RNA polymerase II;metal ion binding",-,-,-,-,-,-,-,sp|Q9P2Y4|ZN219_HUMAN,Zinc finger protein 219 OS=Homo sapiens OX=9606 GN=ZNF219 PE=1 SV=2
